Metric,Strength,Normalized_Strength,Log_Strength,SE_Log_Strength,Rank
mi,1.0,0.22733537618037014,0.0,0.0,3.0
tokens,1.7968455666165333,0.4084865628247999,0.5860326645516639,0.2556900926109187,1.0
logprob,1.6019418847768212,0.3641780609948298,0.47121657131950223,0.2552116871924912,2.0
