metric,normalized_strength,ci_low,ci_high,se
logprob,0.3990656920437894,0.2945427391466838,0.571128264152885,0.05445777644106948
tokens,0.36440802756774787,0.26556256349632507,0.5774952782450868,0.054489127848822934
mi,0.23652628038846282,0.16383173478441143,0.3715974727923083,0.04036323617744957
