threshold,logprob_vs_tokens_ambiguous,logprob_vs_tokens_total,logprob_vs_tokens_pct,mi_vs_logprob_ambiguous,mi_vs_logprob_total,mi_vs_logprob_pct,mi_vs_tokens_ambiguous,mi_vs_tokens_total,mi_vs_tokens_pct
0.6,8,14,57.14285714285714,4,16,25.0,0,14,0.0
0.65,8,14,57.14285714285714,4,16,25.0,0,14,0.0
0.7,11,14,78.57142857142857,8,16,50.0,6,14,42.857142857142854
0.75,11,14,78.57142857142857,8,16,50.0,6,14,42.857142857142854
0.8,11,14,78.57142857142857,9,16,56.25,9,14,64.28571428571429
