Pair_Type,Metric_1,Metric_2,mi_Total_Votes,tokens_Total_Votes,EG_Total_Votes,Total_Votes,Overall_Winner,Win_Percentage,mi_Pct_NoEG,tokens_Pct_NoEG,Winner_NoEG,Win_Pct_NoEG,Binomial_P_Value,Significance,Odds_Ratio,OR_CI_Lower,OR_CI_Upper,mi_Tuple_Wins,tokens_Tuple_Wins,Tuple_Ties,Total_Tuples,logprob_Total_Votes,logprob_Pct_NoEG,logprob_Tuple_Wins
mi_vs_tokens,mi,tokens,17.0,28.0,2,47,tokens,59.6,37.8,62.2,tokens,62.2,0.1352,ns,0.607,0.332,1.109,4.0,10.0,0,14,,,
logprob_vs_tokens,logprob,tokens,,21.0,8,46,tokens,45.7,,55.3,tokens,55.3,0.6271,ns,0.81,0.427,1.534,,6.0,3,14,17.0,44.7,5.0
mi_vs_logprob,mi,logprob,16.0,,3,47,logprob,59.6,36.4,,logprob,63.6,0.0961,ns,0.571,0.309,1.056,4.0,,3,16,28.0,63.6,9.0
