Metric,Strength,Normalized_Strength,Bootstrap_SE,Bootstrap_CI_Lower,Bootstrap_CI_Upper,Log_Strength,Log_Bootstrap_SE,Log_Bootstrap_CI_Lower,Log_Bootstrap_CI_Upper
mi,1.0,0.2239032589487302,0.0414085570565245,0.14890402997516822,0.3107231814172014,0.0,0.0,0.0,0.0
tokens,1.6775510696430145,0.3756091515459992,0.056710104014367255,0.26761218600070713,0.4972508771094557,0.5173350333007494,0.27904833283423547,-0.0029418851846544627,1.0742355671745807
logprob,1.788663512025857,0.40048758950527064,0.05816245042669326,0.29459426888236157,0.5213213026256149,0.5814686996508697,0.27978117805930897,0.04308947687521046,1.1974036325250992
