metric_i,metric_j,comparison,log_diff,se_log_diff,ci_log_diff,win_prob,se_win_prob,ci_win_prob,odds_ratio,ci_odds_ratio,z_score,p_value,significant
mi,tokens,mi vs tokens,-0.5173350333007494,0.2677532034766214,"(np.float64(-1.0421313121149272), np.float64(0.007461245513428527))",0.3734756028886222,0.06265199431105385,"(np.float64(0.2506776940389567), np.float64(0.4962735117382877))",0.5961070384657807,"(np.float64(0.3527021619254352), np.float64(1.007489149963212))",-1.9321338702336757,0.0533429847798792,False
mi,logprob,mi vs logprob,-0.5814686996508697,0.2655616379840826,"(np.float64(-1.1019695100996716), np.float64(-0.06096788920206775))",0.35859471595895,0.061080383885342586,"(np.float64(0.23887716354367852), np.float64(0.47831226837422147))",0.5590766476067881,"(np.float64(0.3322161359116978), np.float64(0.9408534508460004))",-2.18958093520165,0.028554642916500672,True
tokens,logprob,tokens vs logprob,-0.0641336663501203,0.2722176537862461,"(np.float64(-0.5976802677711627), np.float64(0.4694129350709221))",0.48397207677642606,0.06798448227672137,"(np.float64(0.3507224915140522), np.float64(0.6172216620387999))",0.937879628205198,"(np.float64(0.5500862098972426), np.float64(1.599055168401032))",-0.23559701385304008,0.8137453908431687,False
